,line,longitude,latitude,station,sequence
0,101路(火车站--动物园总站),114.118579,22.531603,火车站,1
1,101路(火车站--动物园总站),114.116676,22.538134,建设路,2
2,101路(火车站--动物园总站),114.112274,22.544041,中医院一门诊,3
3,101路(火车站--动物园总站),114.107948,22.541363,市公安局1,4
4,101路(火车站--动物园总站),114.100838,22.540791,市委,5
5,101路(火车站--动物园总站),114.084946,22.540464,上海宾馆东,6
6,101路(火车站--动物园总站),114.077217,22.540346,田面,7
7,101路(火车站--动物园总站),114.069168,22.540277,岗厦北地铁站1,8
8,101路(火车站--动物园总站),114.053055,22.539913,广电大厦2,9
9,101路(火车站--动物园总站),114.044899,22.539764,特区报社1,10
10,101路(火车站--动物园总站),114.039131,22.538725,香蜜湖1,11
11,101路(火车站--动物园总站),114.031166,22.537317,深南香蜜立交2,12
12,101路(火车站--动物园总站),114.023514,22.536165,招商银行大厦1,13
13,101路(火车站--动物园总站),114.012169,22.534153,竹子林1,14
14,101路(火车站--动物园总站),114.006668,22.533165,深圳人才园,15
15,101路(火车站--动物园总站),114.001472,22.532276,园博园2,16
16,101路(火车站--动物园总站),113.991127,22.533451,锦绣中华2,17
17,101路(火车站--动物园总站),113.983353,22.533737,华侨城地铁站,18
18,101路(火车站--动物园总站),113.980682,22.534492,何香凝美术馆1,19
19,101路(火车站--动物园总站),113.975105,22.536858,世界之窗1,20
20,101路(火车站--动物园总站),113.96891,22.539154,白石洲1,21
21,101路(火车站--动物园总站),113.95192,22.540409,大冲2,22
22,101路(火车站--动物园总站),113.943893,22.540045,科技园2,23
23,101路(火车站--动物园总站),113.937233,22.539774,深大北门2,24
24,101路(火车站--动物园总站),113.933296,22.545177,研祥科技大厦2,25
25,101路(火车站--动物园总站),113.93515,22.556681,朗山路西,26
26,101路(火车站--动物园总站),113.940605,22.55677,海普瑞,27
27,101路(火车站--动物园总站),113.946785,22.556694,阜外深圳医院,28
28,101路(火车站--动物园总站),113.95047,22.555807,朗山路中,29
29,101路(火车站--动物园总站),113.951653,22.557505,松坪村,30
30,101路(火车站--动物园总站),113.953377,22.560686,松坪学校小学部,31
31,101路(火车站--动物园总站),113.955411,22.567262,茶光1,32
32,101路(火车站--动物园总站),113.954399,22.574936,西丽社区2,33
33,101路(火车站--动物园总站),113.954376,22.579245,西丽法庭2,34
34,101路(火车站--动物园总站),113.954826,22.583181,九祥岭1,35
35,101路(火车站--动物园总站),113.955002,22.586367,深职院西丽湖校区,36
36,101路(火车站--动物园总站),113.960686,22.591076,丽岛,37
37,101路(火车站--动物园总站),113.964081,22.595074,动物园,38
38,101路(火车站--动物园总站),113.965286,22.596098,动物园总站,39
39,102路(火车站--福田农批市场),114.118604,22.531233,火车站,1
40,102路(火车站--福田农批市场),114.118958,22.535053,人民南地铁站,2
41,102路(火车站--福田农批市场),114.119751,22.53989,金光华广场,3
42,102路(火车站--福田农批市场),114.122459,22.542578,金城大厦2,4
43,102路(火车站--福田农批市场),114.12162,22.54711,东门1,5
44,102路(火车站--福田农批市场),114.123848,22.55092,东门中2,6
45,102路(火车站--福田农批市场),114.121864,22.55615,儿童公园1,7
46,102路(火车站--福田农批市场),114.117393,22.55611,笋岗桥,8
47,102路(火车站--福田农批市场),114.112358,22.556042,桂园中学,9
48,102路(火车站--福田农批市场),114.105972,22.555973,园岭地铁站,10
49,102路(火车站--福田农批市场),114.101707,22.55588,园岭新村,11
50,102路(火车站--福田农批市场),114.098373,22.555834,笋岗八卦路口2,12
51,102路(火车站--福田农批市场),114.093468,22.555981,体育馆1,13
52,102路(火车站--福田农批市场),114.082634,22.555609,市二医院1,14
53,102路(火车站--福田农批市场),114.076691,22.55549,笔架山公园,15
54,102路(火车站--福田农批市场),114.07296,22.560873,长城开发,16
55,102路(火车站--福田农批市场),114.063705,22.567141,凯丰花园,17
56,102路(火车站--福田农批市场),114.06234,22.568447,万科大厦,18
57,102路(火车站--福田农批市场),114.059174,22.566668,福田二医院,19
58,102路(火车站--福田农批市场),114.057777,22.564522,上梅林市场,20
59,102路(火车站--福田农批市场),114.052399,22.564718,上梅林村,21
60,102路(火车站--福田农批市场),114.049286,22.564835,梅林街道办,22
61,102路(火车站--福田农批市场),114.04731,22.564474,梅林中学,23
62,102路(火车站--福田农批市场),114.044792,22.563442,梅林二村南,24
63,102路(火车站--福田农批市场),114.042549,22.563034,下梅林市场,25
64,102路(火车站--福田农批市场),114.038132,22.562841,福田农批市场,26
65,103路短线(东门中2--下沙总站),114.123932,22.551453,东门中2,1
66,103路短线(东门中2--下沙总站),114.116562,22.5429,门诊部2,2
67,103路短线(东门中2--下沙总站),114.108543,22.541479,深圳书城,3
68,103路短线(东门中2--下沙总站),114.100723,22.540791,市委,4
69,103路短线(东门中2--下沙总站),114.083359,22.540424,上海宾馆,5
70,103路短线(东门中2--下沙总站),114.077209,22.540346,田面,6
71,103路短线(东门中2--下沙总站),114.070068,22.53517,福华新村,7
72,103路短线(东门中2--下沙总站),114.068047,22.53159,岗厦村,8
73,103路短线(东门中2--下沙总站),114.068169,22.525455,高训大厦,9
74,103路短线(东门中2--下沙总站),114.068214,22.52236,福民新村,10
75,103路短线(东门中2--下沙总站),114.06691,22.519131,福民公安小区,11
76,103路短线(东门中2--下沙总站),114.065376,22.518042,福田水围村,12
77,103路短线(东门中2--下沙总站),114.057175,22.515505,益田花园,13
78,103路短线(东门中2--下沙总站),114.052185,22.516098,益田村,14
79,103路短线(东门中2--下沙总站),114.048462,22.517656,妇幼保健院,15
80,103路短线(东门中2--下沙总站),114.043785,22.520208,新洲村,16
81,103路短线(东门中2--下沙总站),114.041237,22.521627,沙尾,17
82,103路短线(东门中2--下沙总站),114.036896,22.522364,金地花园,18
83,103路短线(东门中2--下沙总站),114.035004,22.519541,沙嘴,19
84,103路短线(东门中2--下沙总站),114.033264,22.518419,金海湾花园,20
85,103路短线(东门中2--下沙总站),114.028976,22.520773,福荣中路,21
86,103路短线(东门中2--下沙总站),114.024513,22.523289,金域蓝湾,22
87,103路短线(东门中2--下沙总站),114.021927,22.526537,下沙总站,23
88,104路快线(动物园总站--宁水花园总站),113.96611,22.595678,动物园总站,1
89,104路快线(动物园总站--宁水花园总站),113.963928,22.594959,动物园,2
90,104路快线(动物园总站--宁水花园总站),113.957367,22.574032,桃源文体中心,3
91,104路快线(动物园总站--宁水花园总站),113.958809,22.571707,珠光村1,4
