,address,latitude,level,longitude
0,联华超市,30.843553069267116,购物,121.52962442917493
1,玉兰香苑,31.205709934519746,地产小区,121.63987175763405
2,八一菜场,31.3255171745339,购物,121.53819111967084
3,八一菜场,31.3255171745339,购物,121.53819111967084
4,金山国际贸易城,30.739318662106964,购物,121.31200021768326
5,枫泾汽车站“枫梅线”站点,30.902829823788895,长途汽车站,121.03900400540381
6,枫岸华庭,30.902669936129897,地产小区,121.03455802194327
7,阳光二期,31.340842593621094,地产小区,121.28267629193775
8,齐贤南百小区,30.959999003221803,地产小区,121.5190839818125
9,南行贤苑,30.968309008840283,地产小区,121.52124952690541
10,南行贤苑,30.968309008840283,地产小区,121.52124952690541
11,联华超市,30.843553069267116,购物,121.52962442917493
12,长达佳苑,31.0318882795788,地产小区,121.58304306463128
13,长达佳苑,31.0318882795788,地产小区,121.58304306463128
14,民乐城兰丽苑,31.07679550533304,地产小区,121.75400219132116
15,界浜村,31.118799221631587,村庄,121.65576287193612
16,大润发（康桥店）,31.155058835204876,道路,121.57356234827898
17,地杰国际城E欧泊时光,31.16353736113573,地产小区,121.58267610683045
18,浦东国际机场,31.15747782869679,飞机场,121.8150900202384
19,绿林路51弄,31.175709861229354,餐饮,121.55257999766856
20,北蔡芳草路欧麦克KTV,31.19976863861937,道路,121.56346057403945
21,陆家嘴锦绣前城,31.20103584093625,地产小区,121.5406000157264
22,玉兰香苑,31.205709934519746,地产小区,121.63987175763405
23,惠南镇锦江之星宾馆,31.040219726026955,乡镇,121.77919741151905
24,阳光花城,31.214496886185028,地产小区,121.62966512059914
25,汤臣豪园四期,31.20416968927348,地产小区,121.59890794841246
26,智选假日酒店（唐镇店）,31.37969591192654,宾馆,121.26018496773167
27,金京路地铁站,31.28799567706241,道路,121.62336448390474
28,证大家园,31.288312838713313,地产小区,121.60787797808233
29,绿地崴廉公寓,31.29634067585609,地产小区,121.61999261602045
30,新高苑,31.297491156111953,地产小区,121.62696256847236
31,上海贺普药业股份有限公司,31.235929042252014,城市,121.48053886017651
32,乐都西路1636弄,31.020937293473537,地产小区,121.19373209898664
33,翔昆苑,31.033737378551912,地产小区,121.12831533581682
34,久阳文华府邸,31.04718203712189,地产小区,121.19981901712225
35,松江大学城站,31.05971847740669,NoClass,121.2389218966494
36,沃天百联生活超市(新桥店),31.027311829980363,购物,121.71014098750767
37,华兴小区,31.07590281466489,地产小区,121.34300199846032
38,新凯家园一期,31.11247122308843,地产小区,121.24066209408332
39,亭中小区,31.133435775959036,地产小区,121.32874157815051
40,地铁九号线九亭站,31.143431587062366,NoClass,121.32588308018723
41,华联吉买盛(吴泾店),31.04702131063205,购物,121.46263131949621
42,君莲生活小区,31.09116244622533,地产小区,121.41466189509394
43,春申景城,31.113835821480986,地产小区,121.41729204379659
44,莘沥路232号,31.11698623218903,门址,121.37912960120616
45,世纪联华,30.73725576891755,购物,121.35422884106292
46,欧风花都,31.156927841689907,地产小区,121.39196000807632
47,虹六菜市场,31.18982589980061,购物,121.3890220100754
48,城市超市（虹梅路店）,31.16483820250123,道路,121.41081126720336
49,虹桥花苑,31.18370473372026,道路,121.71651230916774
50,虹桥火车站,31.18370473372026,道路,121.71651230916774
51,地铁虹桥2号航站楼站,31.25374186853084,门址,121.67476506076173
52,虹桥国际机场,31.18370473372026,道路,121.71651230916774
53,爱博一村,31.213055846193743,地产小区,121.31749703892936
54,大润发（华漕店）,30.91214242716054,购物,121.45116238355867
55,中华美路60弄,31.22517366525282,地产小区,121.33693358541822
56,梅陇汽车站“枫梅线”站点,31.14752487523238,长途汽车站,121.419690968661
57,罗秀路620弄,31.138239752436736,门址,121.44300299645894
58,上中路51弄,31.141803674419773,门址,121.44079917187335
59,龙吴路1343弄,31.143853110518386,门址,121.4568600659168
60,老沪闵路790弄,31.145737351323646,购物,121.4377568806027
61,钦州南路917弄,31.162288667646774,门址,121.41918513282832
62,科苑新村,31.16939187729264,地产小区,121.43932774744802
63,钦州路108弄,31.16878222783803,门址,121.43728340892095
64,宾阳路62弄,31.17116551004897,楼号,121.44443829732484
65,沃尔玛,31.262248738368925,购物,121.48496561989913
66,田林东路4114弄,31.178519374213767,门址,121.43148834235697
67,宏润国际花园,31.180826009375963,地产小区,121.44562073686761
68,漕东支路218弄,31.18150885709044,楼号,121.44372773766642
69,尚海湾豪庭,31.185112551588933,地产小区,121.46552844459644
70,凯滨路19弄,31.185454308003806,宾馆,121.4672988250955
71,东安二村,31.193910161931974,地产小区,121.46105254756242
72,佳安公寓,31.195817083625656,地产小区,121.45345054735368
73,安吉斯铭汽车销售服务有限公司,31.230177185285957,汽车服务,121.30579050118443
74,家乐福（斜土路店）,31.200367807421628,购物,121.45725594915504
